,proverb,meaning,example
754,دلا دیوانه شو دیوانگی هم عالمی دارد,به دو معنی:,
755,دلش طاقچه ندارد,کنایه از کم صبر و طاقت بودن.,
756,دود از سر بلند شدن,داغ کردن و شوکه شدن بر اثر شنیدن حرفی بسیار نابارورانه و حیرت انگیز.,
757,دود از کنده بلند می شود,سالمندان از جوانان کارامدتر و قابل ترند.,
758,دود چراغ خوردن,رنج بردن در طلب چیزی به خصوص تحصیل علم و دانش.,
759,دود شده رفته هوا,چیزی یا کسی غیب و ناپدید شدن، از بین رفتن هستی و سرمایه.,
760,دودستی به چیزی چسبیدن,چیزی را بسیار دوست داشتن و از ان جدا نشدن,- این ها از ان دسته مردم اند که تا به پست و مقامی می رسند، دودستی به ان می چسبند و برای نگهداری ان به هر پستی و خفتی تن می دهند.  - همین نان بخورونمیر را هم باید دودستی بچسبیم که از دستمان نرود.
761,دودش تو چشم خودت می ره,نتیجه کار بد نصیب خودت خواهد شد.,
762,دور سه فرمان,کسی که خیلی مشکل دارد، بسیار قاطی,
763,دور کسی یا چیزی را خط کشیدن یا قلم گرفتن,از کسی یا چیزی چشم پوشی کردن؛ با کسی یا چیزی کاری نداشتن؛ کسی یا چیزی را نادیده گرفتن,خواهش می کنم دور من یکی را خط بکش، من همین قدر گرفتاری که دارم برایم بس است.
764,دو پا داشت دوپای دیگر هم قرض کرد,فرار و گریز به اخرین حد شتاب.,
765,دو به هم زنی,( ~. ) (حامص . )ایجاد اختلاف و نزاع کردن .,
766,دو پا داشتن و دو پا هم قرض کردن,به سرعت فرار کردن,همین که پاسبان ها را از دور دید، دو پا داشت، دو پا هم قرض کرد و زد به چاک.
767,دو پا را در یک کفش کردن,سماجت و لجاجت بر سر حرفی یا انجام کاری حتی دور از عقل و منطق.,
768,دو در,. [ د د ] ( ا ) دگمه قبا. ( ناظم الاطباء ). تکمه. ( انندراج ). || سگک کمربند. ( ناظم الاطباء ). || گوی گریبان را گویند. ( انندراج ).دودر. [ د د ] ( ص مرکب ) هرچه دارای دو تا در باشد چون تیم و سرا و خانه و غیره : از شمار تو کس طرفه بمهر است هنوزوز شمار دگران چون در تیم دودر است.لبیبی.- خانه دودر ؛ که دارای دو مدخل و باب است : همیشه ناخوش و بی برگ و بینوا باشدکسی که مسکن در خانه دودر دارد.ناصرخسرو.گیتی چو دودر خانه است او رااغاز یکی در دگر در انجام.ناصرخسرو.دنیا را چون خانه ای یافتم دودر، از دری درامدم و از در دیگر بیرون شدم. ( کلیات سعدی مجلس 4 ص 12 ). || کنایه است از دنیا : دویست و پنجه و سه سال عمر کرد چو هودبه دست مرگ زبون شد درین سرای دودر.ناصرخسرو.- کاروانسرای دودر ؛ کنایه از دنیاست. ( یادداشت مؤلف ).|| ( ا ) نشان. || هر چیز به هم پیچیده مانند جوشک و زنجیر و طناب. ( ناظم الاطباء ).دودر. [ د د ] ( اخ ) ( مدرسه ٔ... ) مدرسه ای در مشهد، دارای تزیینات کاشیکاری و گچبری. مورخ 843 ه. ق. نوشته سردر به نام شاهرخ پسر امیر تیمور است ( سابقا مدرسه را مدرسه شاهرخ نیز می خواندند ) و در سالهای اخیر ترمیم شده است. ( از دایرة المعارف فارسی ).,
769,دو پا یا پاها را توی یا در یک کفش کردن,[ هر ] بر خواست یا عقیده ی خود پافشاری کردن؛ لجبازی کردن,دخترک هر دو پایش را در یک کفش کرده بود که فقط و فقط همان پیراهن را می خواهد.
770,دو دوزه بازی کردن,(د. ز. ک د ) (ص مر. ) کنایه از: با هر دو طرف معامله یا مبارزه همدست شدن و هر دو را فریب دادن .,
771,دوره وانفسا,دوره یا زمانه ای که هر کس «وای برمن» می گوید و به فکر نجات خویش از گرفتاری و مهلکه است.,
772,دوری و دوستی,دیدار و ملاقات هرچه کم تر و دیر به دیرتر انجام شود، ارزش و احترام و محبت طرفین نسبت به یکدیگر بیشتر شده و بیشتر نیز حفظ می شود و قوام می یابد، چرا که در کثرت دیدار خواه ناخواه دلخوری پیش می اید.,
773,دوست مرا یاد کند یک هله پوک,هدیه هر چند هم اندک و کم ارزش حتی در حد یک دانه هل پوک شده باشد، نشان می دهد به یاد دوست هستیم و به او علاقه داریم.,
774,دوغ و دوشاب برایش یکی است,کسی که خوب و بد، زشت و زیبا، پسندیده و ناپسند و... در نظرش یکسان و هم ارزش بوده و برایش فرق نکند.,
775,دوقورت ونیم یا دو قورت و نیم کسی هم باقی بودن,همچنان ناراضی یا متوقع بودن؛ انتظار بی جا یا حالت طلبکارانه داشتن,هزار پدرسوختگی و بی شرفی می کنند، دوقورت ونیمشان هم باقی است. توضیح: به تعبیری ریشه ی این اصط. در داستانی از کارهای سلیمان، پیامبر افسانه ای یهود است:  سلیمان پیغمبر از خدا اجازه خواست روزی همه ی جانداران زمین را به ناهاری مهمان کند، خدا تقاضای او را اجابت کرد... روز موعود ماهی عظیمی سر از اب براورد... و هرچه را که برای همه اماده کرده بودند خورد، اما همچنان گرسنه بود. سلیمان پرسید مگر تو در هر وعده چه قدر می خوری؟ گفت سه قورت و انچه خوردم نیم قورت بیشتر نبود و تا سیر شوم دو قورت و نیم دیگر باقی است...  ( خلاصه شده از کتاب کوچه – احمد شاملو )
776,دولاپهنا حساب کردن,گران یا به دوبرابر قیمت حساب کردن یا فروختن,عباس اقا خیلی مردم دار بود، به بعضی از مشتریان دائمی اش هم نسیه می داد، اما اگر کسی حواسش نبود، دولاپهنا حساب می کرد.
777,دوومنگل,ماتیز,
778,دیدار به قیامت,ناامیدی از ملاقات بعدی به دلایل مختلف ( مثل قهر، غیبت طولانی و... ).,
779,دیر اومدی زود می خواهی بری,به تازه کار و تازه واردی که برای رسیدن به هدف و موقعیت مطلوب عجله داشته باشد و بخواهد خیلی سریع به مدارج بالا برسد.,
780,دیگ به دیگ می گه روت سیاه سه پایه می گه صل علی,بدنام و عیبناکی که از دیگران عیب و ایراد بگیرد.,
